Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
AAPL,Apple,Information Technology,113.63,1.83,13.14,8.65,22.03,92,134.54,648,77.88,2.93,5.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AAPL
GOOGL,Google,Information Technology,652.92,,30.76,21.22,163.07,490.91,713.33,447.6,22.62,6.57,4.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL
MSFT,Microsoft Corp,Information Technology,43.41,3.31,29.33,1.48,9.98,39.72,50.05,347.19,33.57,3.77,4.42,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MSFT
XOM,Exxon Mobil,Energy,72.7,4.02,12.94,5.62,41.41,66.55,97.2,303.12,43.51,1.02,1.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=XOM
FB,Facebook Cl,Information Technology,93.08,,94.59,0.98,14.09,70.32,99.24,262.26,6.38,18.39,6.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FB
WFC,Wells Fargo,Financials,50.63,2.94,12.32,4.11,32.99,46.44,58.77,259.9,0,3.17,1.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WFC
JNJ,Johnson & Johnson,Health Care,92.1847,3.21,16.244,5.675,25.689,81.79,109.49,255.27,23.5,3.5876,3.6253,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNJ
AMZN,Amazon.com,Consumer Discretionary,536.42,,,-0.41,25.15,284,580.57,250.89,5.73,2.68,21.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMZN
GE,Genl Electric,Industrials,24.7101,3.71,,-0.623,10.846,19.37,28.68,249.48,28.12,1.723,2.3133,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GE
JPM,JPMorgan Chase & Co,Financials,60.56,2.89,10.94,5.54,58.49,50.07,70.61,223.93,0,2.51,1.05,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JPM
WMT,Wal-Mart Stores,Consumer Staples,63.005,3.09,13.151,4.791,24.532,61.5,90.97,201.99,35.27,0.421,2.597,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WMT
T,AT&T,Telecommunication Services,32.24,5.78,31.86,1.01,16.73,30.97,36.45,198.31,30.38,1.51,1.95,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=T
PFE,Pfizer,Health Care,32.01,3.41,22.72,1.41,10.84,27.51,36.46,197.42,19.61,4.15,2.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PFE
PG,Procter & Gamble,Consumer Staples,70.29,3.79,28.81,2.44,22.6,65.02,93.89,190.67,18.01,2.51,3.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PG
VZ,Verizon Communications,Telecommunication Services,44.215,5.07,18.415,2.401,2.808,38.06,51.73,179.76,36.74,1.412,15.954,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VZ
DIS,Walt Disney Co,Consumer Discretionary,101.87,1.28,21.21,4.8,29.07,78.54,122.08,171.94,14.81,3.4,3.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DIS
V,Visa,Information Technology,69.72,0.7,28.86,2.42,11.78,48.8,76.92,169.6,9.08,12.72,6.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=V
KO,Coca-Cola Co,Consumer Staples,38.6799,3.39,22.6463,1.708,6.534,36.56,45,168.26,12.7,3.7291,5.9979,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KO
BAC,Bank of America,Financials,15.495,1.29,16.191,0.957,21.905,14.6,18.48,162.95,0,2.042,0.717,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAC
ORCL,Oracle Corp,Information Technology,36.195,1.65,16.969,2.133,10.999,35.14,46.71,154.51,15.79,4.129,3.348,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ORCL
GILD,Gilead Sciences,Health Care,103.81,1.59,10.96,9.48,11.06,85.95,123.37,152.35,20.32,5.32,9.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GILD
C,Citigroup,Financials,50.045,0.4,12.657,3.954,68.267,46.6,60.95,150.63,0,2.189,0.743,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=C
HD,Home Depot,Consumer Discretionary,115.42,2.05,22.51,5.13,6.73,86.35,123.8,148.21,12.69,1.75,17.33,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HD
CVX,Chevron Corp,Energy,76.88,5.51,11.87,6.48,82.19,69.58,123.98,144.67,26.34,0.95,0.95,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVX
CMCSA,Comcast Corp,Consumer Discretionary,57.31,1.74,16.94,3.38,21.02,49.33,64.99,142.84,24.16,2.03,2.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CMCSA
MRK,Merck & Co,Health Care,50.56,3.45,14.77,3.42,16.45,45.69,63.62,142.41,14.53,3.57,3.1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MRK
IBM,International Bus. Machines,Information Technology,144.0399,3.6,12.6718,11.367,13.97,140.62,193.07,141.09,22.38,1.6509,10.4853,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IBM
INTC,Intel Corp,Information Technology,28.6501,3.31,12.1399,2.36,12.139,24.87,37.9,136.2,23.6,2.509,2.4022,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=INTC
PEP,PepsiCo,Consumer Staples,92.28,3.02,21.34,4.32,11.19,76.48,100.76,135.56,12.19,2.11,8.37,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PEP
CSCO,Cisco Systems,Information Technology,25.005,3.29,14.289,1.75,11.74,22.49,30.31,126.56,13.39,2.629,2.175,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CSCO
PM,Philip Morris International,Consumer Staples,80.84,5.02,16.91,4.78,-8.49,75.27,90.25,125.24,12.5,4.46,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PM
UNH,UnitedHealth Group,Health Care,123.44,1.63,19.64,6.29,34.69,80.72,126.21,117.71,12.29,0.86,3.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNH
AGN,Allergan plc,Health Care,287,0.1,,-8.65,170.79,208.64,340.34,112.97,7.21,6.34,1.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AGN
CVS,CVS Health Corp,Consumer Staples,99.461,1.41,24.048,4.136,33.208,77.4,113.65,111.2,10.92,0.775,3.039,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVS
AMGN,Amgen,Health Care,144.56,2.1,19.15,7.55,36.21,127.67,181.81,109.61,9.77,5.37,4.06,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMGN
MO,Altria Group,Consumer Staples,54.01,4.18,20.89,2.59,1.42,44.59,56.7,105.97,8.52,5.81,38.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MO
BMY,Bristol-Myers Squibb,Health Care,62.25,2.3,58.12,1.07,9.07,47.55,70.54,103.8,4.63,6.38,6.92,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY
MA,MasterCard,Information Technology,91.61,0.69,28.1,3.26,5.65,69.64,99.18,103.71,5.45,11.03,16.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MA
MDT,Medtronic Plc,Health Care,69.65,2.16,32.34,2.15,37.36,55.54,79.5,98.46,7.02,4.29,1.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MDT
NKE,NIKE,Consumer Discretionary,114.8299,0.97,31.0351,3.7,14.827,79.27,117.72,98.22,4.82,3.2581,7.8613,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NKE
ABBV,AbbVie,Health Care,57.67,3.33,44.84,1.29,3.33,52.06,71.6,95.46,7.83,4.68,17.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABBV
WBA,Walgreens Boots Alliance,Consumer Staples,86.45,1.66,22.21,3.89,28.91,58.39,97.3,94.43,6.39,1.03,3.05,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WBA
LLY,Lilly (Eli),Health Care,86.85,2.26,45.02,1.93,13.82,60.58,92.85,92.21,4.96,4.74,6.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LLY
CELG,Celgene Corp,Health Care,115.62,,43.78,2.64,7.99,83.16,140.72,91.4,3.21,11.18,14.91,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CELG
MCD,McDonald's Corp,Consumer Discretionary,96.99,3.5,22.57,4.3,11.21,87.5,101.88,91.35,9.03,3.54,8.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCD
SLB,Schlumberger Ltd,Energy,72.11,2.76,21.43,3.37,30,68.01,104.38,91.25,12.46,2.07,2.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SLB
BA,Boeing Co,Industrials,133.03,2.67,18.1,7.35,9.2,115.14,158.83,90.39,9.48,0.97,14.79,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BA
UPS,United Parcel Service,Industrials,98.5005,2.97,22.9658,4.289,2.174,93.64,114.4,88.27,8.29,1.533,45.8372,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UPS
MMM,3M Co,Industrials,137.92,2.94,18,7.66,20.96,130.6,170.5,86.16,8.52,2.81,6.68,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
QCOM,QUALCOMM,Information Technology,54.04,3.53,14.79,3.65,21.04,52.59,78.53,84.91,9.1,3.22,2.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=QCOM
SBUX,Starbucks Corp,Consumer Discretionary,57.13,1.13,32.19,1.77,3.93,35.38,59.32,84.79,4.13,4.63,14.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SBUX
GS,Goldman Sachs Group,Financials,178.6709,1.44,10.5804,16.887,169.333,171.26,218.77,80.67,0,2.3149,1.0828,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GS
UTX,United Technologies,Industrials,89.11,2.81,12.78,6.97,34.11,87.17,124.45,79.36,12.36,1.27,2.68,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UTX
AXP,American Express,Financials,75.1,1.53,13.2,5.69,21.84,71.71,94.89,75.2,0,2.42,3.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AXP
HON,Honeywell International,Industrials,95.56,2.11,17.13,5.58,23.61,82.89,107.41,74.71,7.11,1.94,4.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HON
UNP,Union Pacific,Industrials,85.84,2.51,14.75,5.82,24.14,79.31,124.52,74.48,10.59,3.28,3.66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNP
AIG,American International Group,Financials,57.03,1.94,11.22,5.08,79.74,48.56,64.93,73.79,17.6,1.19,0.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG
USB,U.S. Bancorp,Financials,40.8925,2.48,13.0647,3.13,22.513,38.1,46.26,72.01,0,4.0031,1.8443,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=USB
BIIB,Biogen,Health Care,292.45,,19.81,14.76,53.46,265,480.18,68.78,5.24,6.79,5.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BIIB
MDLZ,Mondelez International,Consumer Staples,42.11,1.59,33.24,1.27,15.29,31.83,48.58,67.85,5.07,2.12,2.8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MDLZ
KMI,Kinder Morgan,Energy,30.2899,6.45,42.9035,0.706,16.074,28.5,44.71,66.39,6.56,4.3933,1.9081,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMI
PCLN,Priceline Group (The),Consumer Discretionary,1285.5,,28.63,44.91,167.37,990.69,1395,65.18,3.27,7.53,7.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCLN
MS,Morgan Stanley,Financials,32.549,1.82,16.564,1.965,34.524,30.4,41.04,63.58,0,1.788,0.966,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MS
LOW,Lowe'sCompanies,Consumer Discretionary,68.57,1.64,23.28,2.95,9.36,49.85,76.25,63.44,6.71,1.12,7.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LOW
ABT,Abbott Laboratories,Health Care,42.2199,2.22,14.1868,2.976,15.437,39.28,51.74,62.93,4.64,3.1478,2.8049,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ABT
LMT,Lockheed Martin,Industrials,202.36,2.95,17.97,11.26,9.6,166.28,213.34,62.84,6.15,1.4,21.28,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LMT
COST,Costco Wholesale,Consumer Staples,141.144,1.13,27.039,5.22,24.075,117.03,156.85,62.03,4.66,0.543,5.948,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COST
RAI,Reynolds American,Consumer Staples,42.36,3.44,15.69,2.7,12.82,28.14,44.14,60.54,2.99,6.92,3.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RAI
ACN,Accenture Plc,Information Technology,96.24,2.09,20.51,4.69,9.47,73.98,105.37,60.07,4.9,1.99,10.4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
COP,ConocoPhillips,Energy,48.18,6.12,21.94,2.2,39.42,41.1,79.84,59.43,12.51,1.46,1.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COP
DHR,Danaher Corp,Industrials,85.38,0.63,23.49,3.63,35.26,70.12,92.92,58.36,4.6,2.91,2.45,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DHR
SPG,Simon Property Group,Financials,184.2,3.37,38.37,4.8,14.22,162.43,206.31,56.99,3.71,11.48,13.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SPG
TWX,Time Warner,Consumer Discretionary,68.97,2.01,16.24,4.25,29.41,66.82,91.34,56.25,7.87,2.01,2.37,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TWX
CL,Colgate-Palmolive,Consumer Staples,62.07,2.42,24.92,2.49,0.5,50.84,71.56,55.87,4.55,3.39,125.2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CL
ESRX,Express Scripts Holding,Health Care,82.47,,27.19,3.03,23.42,68.06,94.61,55.73,6.82,0.55,3.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ESRX
F,Ford Motor,Consumer Discretionary,13.8099,4.2,14.9135,0.926,6.637,10.44,16.74,54.8,11.73,0.4003,2.1576,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=F
TWC,Time Warner Cable,Consumer Discretionary,190.26,1.58,27.5,6.92,30.07,128.78,194.22,53.84,7.9,2.33,6.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TWC
REGN,Regeneron Pharmaceuticals,Health Care,522.025,,131.691,3.964,32.448,320.06,605.93,53.71,1.11,16.037,16.315,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=REGN
FOXA,Twenty-First Century Fox,Consumer Discretionary,26.02,1.14,6.67,3.9,8.45,22.81,39.27,52.55,6.37,1.84,3.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOXA
MET,MetLife,Financials,45.8368,3.22,7.7545,5.911,62.124,44.49,58.23,51.19,10.83,0.7207,0.7549,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MET
BLK,BlackRock,Financials,304.39,2.82,15.35,19.82,166.94,275,382.84,50.64,4.87,4.62,1.87,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLK
DOW,Dow Chemical,Materials,43.15,3.88,12.26,3.52,16.93,35.11,53.8,49.97,8.57,0.94,2.6,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DOW
OXY,Occidental Petroleum,Energy,65.28,4.49,,-2.91,43.59,64.83,95.15,49.87,7.27,3.24,1.53,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OXY
TMO,Thermo Fisher Scientific,Health Care,124.63,0.48,25.51,4.89,51.9,107.33,141.25,49.66,4.03,2.99,2.43,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TMO
TGT,Target Corp,Consumer Discretionary,77.3693,2.92,,-1.415,22.115,58.72,85.81,48.62,7.35,0.6687,3.5388,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TGT
TJX,TJX Companies,Consumer Discretionary,70.9,1.18,21.65,3.28,6.34,58.58,76.93,47.81,4.28,1.62,11.35,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TJX
DUK,Duke Energy,Utilities,69.37,4.75,17.63,3.93,57.53,67.27,89.97,47.75,8.79,2.08,1.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DUK
TXN,Texas Instruments,Information Technology,46.46,3.18,16.72,2.78,9.87,41.47,59.99,47.69,5.36,3.7,4.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TXN
GM,General Motors,Consumer Discretionary,29.69,4.72,10.96,2.71,21.97,24.62,38.99,47.03,12.94,0.32,1.39,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GM
HPQ,Hewlett-Packard,Information Technology,25.965,2.65,10.628,2.443,15.011,24.85,41.1,46.69,12.76,0.448,1.761,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HPQ
MCK,McKesson Corp,Health Care,197.705,0.55,28.248,6.999,38.093,160.1,243.61,45.95,4.24,0.255,5.284,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCK
EMC,EMC Corp,Information Technology,23.66,1.91,19.27,1.23,10.43,22.66,30.92,45.54,5.42,1.88,2.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EMC
PNC,PNC Financial Services,Financials,87.7099,2.33,12.0879,7.256,79.585,76.69,100.52,45.05,0,3.0072,1.1167,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNC
GD,Genl Dynamics,Industrials,137.99,1.98,16.15,8.55,34.57,114.73,153.76,45.01,4.63,1.43,4.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GD
NEE,NextEra Energy,Utilities,97.2,3.17,14.88,6.53,47.2,90.33,112.64,43.94,8.11,2.49,2.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NEE
DD,Du Pont (E.I.),Materials,47.82,3.2,14.25,3.36,14.76,47.37,76.59,43.27,5.74,1.33,3.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DD
BK,Bank of New York Mellon,Financials,38.75,1.75,15.44,2.51,32.28,35.06,45.45,42.88,0,2.73,1.22,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BK
CAT,Caterpillar,Industrials,71.03,4.29,12.13,5.86,28.36,70.23,107.12,42.8,8.53,0.82,2.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT
PSX,Phillips 66,Energy,78.24,2.85,10.07,7.77,41.64,57.33,84.85,42.07,5.15,0.38,1.9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PSX
NFLX,NetFlix,Consumer Discretionary,98.63,,221.14,0.45,4.77,45.08,129.29,42.02,0.40716,6.99,21.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NFLX
EOG,EOG Resources,Energy,75.44,0.88,29.7,2.54,31.74,68.15,103.04,41.43,7,3.28,2.41,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EOG
AET,Aetna,Health Care,118.29,0.86,17.95,6.59,44.2,71.81,134.4,41.24,5.16,0.69,2.69,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AET
ADBE,Adobe Systems,Information Technology,82.68,0,84.37,0.98,13.72,58.51,87.25,41.23,1.1,9.11,6.07,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADBE
D,Dominion Resources,Utilities,69.19,3.75,23.69,2.92,20.9,65.53,80.89,41.12,5.09,3.39,3.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=D
FDX,FedEx Corp,Industrials,143.7,0.69,37.86,3.8,54.12,130.13,185.19,40.58,7.22,0.86,2.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FDX
MON,Monsanto Co,Materials,86.26,2.45,15.96,5.41,17.79,86.17,126,40.36,4.69,2.68,4.93,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MON
COF,Capital One Financial,Financials,73.27,2.18,10.34,7.08,85.52,67.73,92.1,39.98,0,2.19,0.87,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COF
CCL,Carnival Corp,Consumer Discretionary,51.26,2.3,27.87,1.84,29.89,33.11,54.05,39.88,3.37,2.6,1.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCL
LYB,LyondellBasell Industries,Materials,84.77,3.64,9.17,9.24,16.93,70.06,113.65,39.49,7.2,1.02,5.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LYB
SO,Southern Co,Utilities,43.22,5,18.31,2.36,22.22,41.4,53.16,39.26,6.18,2.22,1.97,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SO
KMB,Kimberly-Clark,Consumer Staples,107.445,3.26,62.071,1.731,1.416,99.597,119.01,39.14,4.38,2.062,76.815,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMB
ANTM,Anthem,Health Care,148.85,1.7,14.55,10.23,88.17,108.92,173.59,38.94,6.59,0.51,1.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ANTM
AMT,American Tower,Financials,89.23,2.03,53.53,1.67,17.27,87.95,106.31,37.77,2.7,8.82,5.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMT
CTSH,Cognizant Technology Solutions,Information Technology,61.49,,24.79,2.48,14.01,42.94,69.35,37.48,2.25,3.38,4.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CTSH
SCHW,Schwab(Charles)Corp,Financials,28.25,0.84,29.74,0.95,8.78,23.35,35.72,37.17,0,6.26,3.31,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SCHW
SYK,Stryker Corp,Health Care,98.44,1.39,40.36,2.44,22.59,77.87,105.34,37.07,2.62,3.82,4.41,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYK
DAL,Delta Air Lines,Industrials,46.49,1.16,20.56,2.26,12.02,30.12,51.06,36.98,7.22,0.92,3.93,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DAL
ADP,Automatic Data Processing,Information Technology,78.47,2.48,25.73,3.05,10.31,64.29,90.23,36.55,2.28,3.4,7.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADP
CI,Cigna Corp,Health Care,141.16,0.03,17.49,8.07,43.88,85.75,170.68,36.35,3.93,1,3.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CI
PSA,Public Storage,Financials,207.94,3.29,36.3,5.73,29.53,162.34,217.99,35.97,1.67,15.24,7.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PSA
ALXN,Alexion Pharmaceuticals,Health Care,156.6,,53.48,2.93,37.84,150.06,208.88,35.42,0.88,15.18,4.24,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALXN
KR,Kroger Co,Consumer Staples,35.951,1.2,18.531,1.94,6.095,25.42,39.43,34.69,5.54,0.325,6.015,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KR
HCA,HCA Holdings,Health Care,82.68,0,16.93,4.88,-17.79,43.91,95.49,34.33,7.7,0.89,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HCA
YUM,Yum Brands,Consumer Discretionary,79.6,2.05,39,2.04,3.63,65.81,95.9,34.32,2.7,2.65,22.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=YUM
AVGO,Avago Technologies,Information Technology,123.96,1.32,32.52,3.81,15.57,68.75,150.5,34.13,2.8,5.33,8.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO
PRU,Prudential Financial,Financials,75.52,3.06,14.03,5.38,92.33,74.05,92.6,34.06,8.76,0.56,0.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PRU
GIS,Genl Mills,Consumer Staples,56.66,3.11,28.76,1.97,8.35,47.5,59.87,33.92,3.25,1.93,6.8,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GIS
WMB,WilliamsCompanies,Energy,45.1,5.55,16.55,2.72,10.59,40.07,61.38,33.81,2.89,4.42,4.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WMB
APC,Anadarko Petroleum,Energy,65.27,1.65,,-4.97,32.26,58.1,105.23,33.16,6.76,2.6,2.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=APC
ECL,Ecolab,Materials,110.73,1.3,27.25,4.06,23.08,97.78,118.27,32.68,2.93,2.37,4.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ECL
ACE,ACE Limited,Financials,100.89,2.68,11.35,8.89,91.27,96,117.89,32.67,3.86,1.7,1.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACE
HAL,Halliburton Co,Energy,37.16,1.93,20.95,1.77,18.37,30.93,66.26,31.76,6.13,1.05,2.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HAL
BRCM,Broadcom Corp,Information Technology,51.95,1.07,29.45,1.76,15.82,34.5,57.7,31.53,1.98,3.74,3.33,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRCM
PCP,Precision Castparts,Industrials,229.15,0.05,22.45,10.21,81.59,186.17,245.05,31.51,2.83,3.19,2.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PCP
NOC,Northrop Grumman,Industrials,167.68,1.89,16.98,9.87,32.76,118.24,176.83,31.42,3.59,1.33,5.2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NOC
RTN,Raytheon Co,Industrials,103.3,2.56,14.81,6.97,33.12,92.96,113.36,31.36,3.34,1.4,3.17,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RTN
EBAY,eBay,Information Technology,25.68,,13.28,1.93,16.26,19.5,29.35,31.28,5.17,1.72,1.59,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EBAY
TRV,TravelersCompanies,Financials,99.31,2.45,9.11,10.91,77.51,90.83,110.49,30.91,6.16,1.16,1.3,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TRV
